id_gestion,id_mora,fecha_gestion,tipo_contacto,resultado_gestion
40001,30001,2024-12-18 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40002,30001,2024-12-25 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40003,30001,2025-01-06 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40004,30002,2025-06-26 00:00:00,Llamada,Cliente no contesta
40005,30003,2023-08-20 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40006,30004,2023-10-20 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40007,30004,2023-10-28 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40008,30004,2023-10-27 00:00:00,Llamada,Cliente promete pagar en 5 días
40009,30005,2024-04-23 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40010,30005,2024-04-25 00:00:00,Correo,Correo rebotado — dirección inválida
40011,30005,2024-04-28 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40012,30006,2024-06-22 00:00:00,Llamada,Cliente no contesta
40013,30006,2024-06-29 00:00:00,Llamada,Cliente solicita refinanciación
40014,30008,2025-11-25 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40015,30009,2025-09-26 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40016,30009,2025-09-22 00:00:00,Llamada,Buzón de voz — se deja mensaje
40017,30009,2025-09-28 00:00:00,Correo,Correo enviado sin respuesta
40018,30009,2025-10-08 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40019,30010,2025-10-22 00:00:00,Llamada,Buzón de voz — se deja mensaje
40020,30010,2025-11-01 00:00:00,Correo,Cliente responde solicitando plazo adicional
40021,30010,2025-11-04 00:00:00,Correo,Cliente responde solicitando plazo adicional
40022,30011,2025-11-23 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40023,30011,2025-11-25 00:00:00,Correo,Correo enviado sin respuesta
40024,30011,2025-11-30 00:00:00,Correo,Correo rebotado — dirección inválida
40025,30011,2025-12-08 00:00:00,Llamada,Cliente promete pagar en 5 días
40026,30012,2024-10-20 00:00:00,Llamada,Cliente solicita refinanciación
40027,30012,2024-11-01 00:00:00,Llamada,Buzón de voz — se deja mensaje
40028,30012,2024-10-29 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40029,30012,2024-11-10 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40030,30013,2024-12-22 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40031,30013,2024-12-30 00:00:00,Llamada,Cliente no contesta
40032,30013,2024-12-28 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40033,30013,2025-01-11 00:00:00,Llamada,Cliente no contesta
40034,30014,2025-02-23 00:00:00,Llamada,Cliente solicita refinanciación
40035,30014,2025-03-02 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40036,30014,2025-03-09 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40037,30014,2025-03-08 00:00:00,Llamada,Buzón de voz — se deja mensaje
40038,30015,2025-05-21 00:00:00,Llamada,Cliente solicita refinanciación
40039,30015,2025-05-22 00:00:00,Correo,Correo rebotado — dirección inválida
40040,30015,2025-06-04 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40041,30016,2025-08-27 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40042,30016,2025-08-24 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40043,30016,2025-09-04 00:00:00,Correo,Correo enviado sin respuesta
40044,30017,2025-11-24 00:00:00,Llamada,Buzón de voz — se deja mensaje
40045,30017,2025-11-26 00:00:00,Llamada,Cliente promete pagar en 5 días
40046,30017,2025-12-06 00:00:00,SMS,SMS enviado exitosamente
40047,30017,2025-12-09 00:00:00,Correo,Cliente responde solicitando plazo adicional
40048,30018,2024-10-27 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40049,30019,2025-02-21 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40050,30020,2025-03-20 00:00:00,Correo,Cliente responde solicitando plazo adicional
40051,30020,2025-03-26 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40052,30021,2025-04-25 00:00:00,Llamada,Cliente promete pagar en 5 días
40053,30021,2025-04-25 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40054,30022,2025-07-25 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40055,30022,2025-07-22 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40056,30022,2025-07-30 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40057,30023,2025-10-18 00:00:00,Llamada,Buzón de voz — se deja mensaje
40058,30023,2025-11-01 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40059,30024,2023-10-26 00:00:00,Llamada,Cliente promete pagar en 5 días
40060,30025,2023-11-23 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40061,30025,2023-12-02 00:00:00,Llamada,Cliente solicita refinanciación
40062,30026,2023-12-24 00:00:00,Correo,Correo enviado sin respuesta
40063,30026,2024-01-01 00:00:00,Llamada,Cliente no contesta
40064,30027,2024-01-23 00:00:00,Llamada,Cliente no contesta
40065,30028,2024-02-20 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40066,30029,2024-03-23 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40067,30030,2024-04-18 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40068,30031,2024-05-17 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40069,30032,2024-06-18 00:00:00,Correo,Cliente responde solicitando plazo adicional
40070,30033,2024-07-23 00:00:00,Llamada,Cliente promete pagar en 5 días
40071,30034,2024-08-17 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40072,30034,2024-08-28 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40073,30035,2024-09-23 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40074,30035,2024-10-02 00:00:00,Llamada,Cliente promete pagar en 5 días
40075,30036,2024-10-21 00:00:00,Visita Domiciliaria,Cliente no se encontraba en domicilio
40076,30037,2024-11-25 00:00:00,Visita Domiciliaria,Se deja aviso de cobro en puerta
40077,30037,2024-11-22 00:00:00,Visita Domiciliaria,Cliente firma acuerdo de pago
40078,30037,2024-12-05 00:00:00,Correo,Cliente responde solicitando plazo adicional
40079,30038,2024-12-25 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40080,30039,2025-01-26 00:00:00,Visita Domiciliaria,Cliente recibe notificación de cobro
40081,30040,2025-02-18 00:00:00,Correo,Cliente responde solicitando plazo adicional
40082,30040,2025-03-03 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
40083,30041,2025-03-23 00:00:00,Llamada,Cliente reconoce deuda sin fecha de pago
