id_mora,id_producto_activo,id_extracto,fecha_inicio_mora,dias_mora,capital_vencido,interes_mora,estado_mora
30001,10005,127,2024-12-17,379,3471000.0,1385669.0,En Gestión
30002,10005,133,2025-06-17,197,7536500.0,1563874.0,Activa
30003,10012,291,2023-08-17,867,423481.0,151759.0,Activa
30004,10012,293,2023-10-17,806,542223.0,180640.0,Activa
30005,10012,299,2024-04-17,623,218571.0,56283.0,En Gestión
30006,10012,301,2024-06-17,562,218571.0,50773.0,En Gestión
30007,10012,314,2025-07-17,167,218571.0,15087.0,Liquidada
30008,10012,318,2025-11-17,44,218571.0,3975.0,Activa
30009,10022,563,2025-09-17,105,2106213.0,159967.0,Activa
30010,10022,564,2025-10-17,75,3556060.0,192916.0,Activa
30011,10022,565,2025-11-17,44,5037369.0,160323.0,Activa
30012,10023,571,2024-10-17,440,1720831.0,704164.0,Activa
30013,10023,573,2024-12-17,379,2605253.0,918274.0,Activa
30014,10023,575,2025-02-17,317,1147221.0,338212.0,Activa
30015,10023,578,2025-05-17,228,1720831.0,364885.0,En Gestión
30016,10023,581,2025-08-17,136,2449847.0,309857.0,Activa
30017,10023,584,2025-11-17,44,2637187.0,107914.0,Activa
30018,10025,618,2024-10-17,440,2491562.0,1169373.0,En Gestión
30019,10025,622,2025-02-17,317,967000.0,326975.0,En Gestión
30020,10025,623,2025-03-17,289,2257944.0,696049.0,Activa
30021,10025,624,2025-04-17,258,3016198.0,830058.0,En Gestión
30022,10025,627,2025-07-17,167,669000.0,119171.0,En Gestión
30023,10025,630,2025-10-17,75,1652352.0,132188.0,Activa
30024,10041,1031,2023-10-17,806,1924081.0,930486.0,Activa
30025,10041,1032,2023-11-17,775,3882795.0,1805500.0,Activa
30026,10041,1033,2023-12-17,745,5876766.0,2626914.0,Activa
30027,10041,1034,2024-01-17,714,7906629.0,3387200.0,Activa
30028,10041,1035,2024-02-17,683,9973029.0,4086947.0,Activa
30029,10041,1036,2024-03-17,654,12076625.0,4738868.0,Activa
30030,10041,1037,2024-04-17,623,14218085.0,5314720.0,Activa
30031,10041,1038,2024-05-17,593,16398092.0,5834441.0,Activa
30032,10041,1039,2024-06-17,562,18617339.0,6277767.0,Activa
30033,10041,1040,2024-07-17,532,20876532.0,6663789.0,Activa
30034,10041,1041,2024-08-17,501,23176391.0,6966823.0,Activa
30035,10041,1042,2024-09-17,470,25517647.0,7195976.0,Activa
30036,10041,1043,2024-10-17,440,27901046.0,7365876.0,Activa
30037,10041,1044,2024-11-17,409,30327346.0,7442331.0,Activa
30038,10041,1045,2024-12-17,379,32797319.0,7458110.0,Activa
30039,10041,1046,2025-01-17,348,35311752.0,7373094.0,Activa
30040,10041,1047,2025-02-17,317,37871445.0,7203149.0,Activa
30041,10041,1048,2025-03-17,289,40477212.0,7018749.0,Activa
30042,10041,1049,2025-04-17,258,43129883.0,6676506.0,Activa
30043,10041,1050,2025-05-17,228,45830302.0,6269585.0,Activa
30044,10041,1051,2025-06-17,197,48579328.0,5742077.0,Activa
30045,10041,1052,2025-07-17,167,51377837.0,5148059.0,Activa
30046,10041,1053,2025-08-17,136,54226719.0,4424900.0,Activa
30047,10041,1054,2025-09-17,105,57126881.0,3598994.0,Activa
30048,10041,1055,2025-10-17,75,60079246.0,2703566.0,Activa
30049,10041,1056,2025-11-17,44,63084753.0,1665437.0,Activa
30050,10041,1057,2025-12-17,14,66144360.0,555613.0,Activa
30051,10054,1440,2024-01-17,714,7678000.0,4184664.0,Activa
30052,10054,1445,2024-06-17,562,12974000.0,5565760.0,Liquidada
30053,10054,1452,2025-01-17,348,10444312.0,2774427.0,Activa
30054,10054,1453,2025-02-17,317,16560487.0,4007251.0,Activa
30055,10054,1456,2025-05-17,228,4151000.0,722440.0,Activa
30056,10054,1460,2025-09-17,105,7668000.0,614590.0,En Gestión
30057,10054,1463,2025-12-17,14,14468649.0,154622.0,En Gestión
30058,10072,1984,2024-08-17,501,620358.0,189588.0,En Gestión
30059,10072,1985,2024-09-17,470,1252069.0,358968.0,En Gestión
30060,10072,1989,2025-01-17,348,620358.0,131690.0,En Gestión
30061,10072,1993,2025-05-17,228,620358.0,86279.0,Liquidada
30062,10072,1994,2025-06-17,197,1252069.0,150461.0,Activa
30063,10072,1998,2025-10-17,75,620358.0,28381.0,En Gestión
30064,10073,2001,2023-12-17,745,9151000.0,4863146.0,Activa
30065,10073,2002,2024-01-17,714,12527831.0,6380675.0,Activa
30066,10073,2003,2024-02-17,683,17472927.0,8512927.0,Activa
30067,10073,2004,2024-03-17,654,25301848.0,11803818.0,Activa
30068,10073,2005,2024-04-17,623,26356308.0,11712919.0,Activa
30069,10073,2006,2024-05-17,593,32610333.0,13794388.0,Activa
30070,10073,2007,2024-06-17,562,34994194.0,14028939.0,Activa
30071,10073,2008,2024-07-17,532,41203070.0,15636290.0,Activa
30072,10073,2009,2024-08-17,501,48329816.0,17272110.0,Activa
30073,10073,2010,2024-09-17,470,55119074.0,18479588.0,Activa
30074,10073,2011,2024-10-17,440,60692622.0,19049391.0,Activa
30075,10073,2012,2024-11-17,409,68235444.0,19907918.0,Activa
30076,10073,2013,2024-12-17,379,69893683.0,18895990.0,Activa
30077,10073,2014,2025-01-17,348,71596408.0,17773092.0,Activa
30078,10073,2015,2025-02-17,317,82582571.0,18674122.0,Activa
30079,10073,2016,2025-03-17,289,91030838.0,18766311.0,Activa
30080,10073,2017,2025-04-17,258,100662898.0,18526000.0,Activa
30081,10073,2018,2025-05-17,228,110258084.0,17932375.0,Activa
30082,10073,2019,2025-06-17,197,122198607.0,17172163.0,Activa
