id_producto_activo,id_producto_banco,id_cliente,numero_contrato,monto_aprobado,tasa_interes_mensual,tasa_interes_mora,fecha_inicio,fecha_vencimiento,estado,numero_cuotas,valor_cuota_fija,cupo_disponible,dia_corte
10000,5,7702,CGP-577442,55100000,1.91,2.33,2023-04-15,2030-03-09,Vigente,84.0,1322247.0,,
10001,8,7702,YIC-086875,30800000,1.16,1.44,2023-01-07,2024-12-27,Cancelada,24.0,1477633.0,,
10002,7,7702,SBF-202126,232700000,1.29,1.63,2024-01-23,2028-01-02,Vigente,48.0,6532976.0,,
10003,9,5474,JZQ-568720,7600000,2.26,2.99,2024-12-19,,Vigente,,,3200000.0,2.0
10004,5,5474,MXQ-117574,33900000,1.45,2.0,2023-11-20,2030-04-17,Vigente,78.0,728591.0,,
10005,10,1764,KBJ-959807,9900000,2.3,3.16,2024-06-05,,En_Mora,,,4000000.0,2.0
10006,8,1764,LLY-825198,35600000,1.75,2.23,2024-11-29,2026-11-19,Vigente,24.0,1829329.0,,
10007,9,1764,UNA-309883,7100000,2.14,2.65,2023-11-02,,Vigente,,,4000000.0,2.0
10008,11,5445,WLF-572396,29600000,1.64,2.01,2023-03-12,,Vigente,,,22600000.0,2.0
10009,7,9717,QFX-802621,172100000,1.55,1.95,2023-12-13,2025-12-02,Cancelada,24.0,8641914.0,,
10010,11,9717,LLM-769043,21500000,1.6,2.07,2024-08-07,,Vigente,,,12600000.0,2.0
10011,11,9015,ZVZ-981424,15600000,1.73,2.4,2023-07-07,,Vigente,,,9500000.0,2.0
10012,8,9015,HSS-764120,8300000,1.0,1.24,2023-03-02,2027-02-09,En_Mora,48.0,218571.0,,
10013,5,8774,NWB-084955,6900000,1.98,2.74,2023-02-28,2028-02-02,Vigente,60.0,197539.0,,
10014,10,8774,SGK-623704,11200000,1.97,2.59,2023-02-10,,Vigente,,,7500000.0,15.0
10015,11,8774,WJE-876960,29900000,1.31,1.63,2024-07-30,,Cancelada,,,14500000.0,15.0
10016,8,6526,QGM-980420,7900000,1.28,1.56,2024-07-20,2026-07-10,Vigente,24.0,384397.0,,
10017,5,6526,CYR-103540,52100000,1.48,2.0,2023-05-14,2030-04-07,Vigente,84.0,1087713.0,,
10018,10,6526,RJO-897921,14000000,2.23,3.06,2024-01-09,,Vigente,,,13000000.0,2.0
10019,7,9028,XJV-826320,263500000,1.87,2.4,2024-12-19,2027-12-04,Vigente,36.0,10123263.0,,
10020,9,3949,PIU-491810,2700000,2.7,3.34,2023-01-29,,Vigente,,,2600000.0,15.0
10021,10,3949,BRI-387334,5000000,2.59,3.39,2024-03-22,,Vigente,,,4000000.0,2.0
10022,8,6619,KVH-276346,37700000,1.68,2.17,2024-11-11,2027-10-27,En_Mora,36.0,1404142.0,,
10023,5,6619,HRQ-092381,39400000,2.05,2.79,2024-06-07,2029-05-12,En_Mora,60.0,1147221.0,,
10024,9,2455,JKD-688872,3000000,2.34,3.17,2023-09-08,,En_Mora,,,1900000.0,2.0
10025,9,7500,RZP-986758,1800000,2.31,3.2,2024-06-14,,En_Mora,,,700000.0,2.0
10026,9,5784,HCH-235126,3600000,1.97,2.62,2024-04-05,,Vigente,,,3000000.0,15.0
10027,8,5784,FKX-568730,10100000,1.41,1.74,2024-12-24,2027-06-12,Vigente,30.0,415210.0,,
10028,11,5784,HMK-677899,16000000,1.84,2.54,2023-12-27,,Vigente,,,14200000.0,2.0
10029,11,1445,TJT-820059,27300000,1.44,1.8,2023-05-19,,Vigente,,,14400000.0,15.0
10030,10,1445,FAD-165267,7200000,1.73,2.41,2023-12-25,,Cancelada,,,2400000.0,2.0
10031,7,1445,CAI-693706,786200000,1.96,2.49,2023-06-21,2026-06-05,Cancelada,36.0,30647074.0,,
10032,10,6773,VCY-687479,10300000,2.21,2.68,2023-12-22,,Cancelada,,,7800000.0,2.0
10033,5,6773,TGW-808246,50400000,1.97,2.67,2023-10-04,2031-02-24,Vigente,90.0,1200255.0,,
10034,8,6773,UIW-720907,14800000,1.49,1.84,2024-01-24,2026-07-12,Vigente,30.0,615387.0,,
10035,11,2173,NLT-372211,15900000,1.85,2.31,2023-04-06,,Vigente,,,12200000.0,15.0
10036,9,2173,PTP-982337,6500000,2.57,3.44,2023-05-03,,Vigente,,,2800000.0,15.0
10037,10,2665,IZG-810456,13700000,1.98,2.72,2024-10-15,,Vigente,,,9600000.0,15.0
10038,7,9662,XHP-450907,786600000,1.79,2.19,2024-03-02,2030-01-30,Vigente,72.0,19522151.0,,
10039,5,3123,GSS-469766,8800000,1.55,2.0,2024-07-19,2031-12-10,Vigente,90.0,181988.0,,
10040,7,3123,BEH-752166,596400000,1.54,1.95,2023-07-22,2027-07-01,Cancelada,48.0,17669194.0,,
10041,8,3123,TPA-268507,21000000,1.49,1.8,2023-10-06,2024-09-30,Castigada,12.0,1924081.0,,
10042,7,6473,KIC-144647,1196800000,1.44,1.85,2023-07-05,2025-06-24,Cancelada,24.0,59333644.0,,
10043,11,6473,VAW-405644,19100000,1.71,2.16,2023-02-07,,Cancelada,,,18700000.0,15.0
10044,5,6473,MAQ-773042,18700000,1.95,2.7,2023-02-22,2030-07-15,Cancelada,90.0,442457.0,,
10045,10,6473,HVZ-253958,9600000,1.73,2.36,2023-04-27,,Vigente,,,6200000.0,15.0
10046,7,7527,MIT-398923,1029300000,1.58,2.0,2023-11-02,2026-10-17,Vigente,36.0,37709228.0,,
10047,7,1302,ANP-884547,1187800000,1.79,2.26,2024-01-31,2027-01-15,Vigente,36.0,45043712.0,,
10048,10,1302,SQW-883377,13700000,2.39,2.9,2024-02-24,,Vigente,,,11600000.0,15.0
10049,7,3366,SXB-723155,934100000,1.43,1.73,2023-08-21,2025-08-10,Cancelada,24.0,46255864.0,,
10050,5,3366,PGQ-468425,16100000,1.57,2.16,2023-07-04,2028-12-04,Vigente,66.0,393519.0,,
10051,11,3366,LHZ-813326,18800000,1.74,2.29,2023-03-17,,Vigente,,,14000000.0,15.0
10052,10,3652,JQQ-676869,12500000,2.3,3.18,2024-09-12,,Vigente,,,10500000.0,2.0
10053,8,8459,UWJ-521999,5400000,1.3,1.66,2023-05-15,2024-11-05,Cancelada,18.0,338405.0,,
10054,10,8459,FRR-385032,12500000,1.87,2.29,2023-10-30,,En_Mora,,,12200000.0,2.0
