id_Mora,id_producto_activo,fecha_inicio_mora,capital_vencido,interes_mora,estado_mora
75307,79635,09-04-26,2261253.1294668,23759543.75322,Activa
64991,68943,04-04-26,167017.058,1580807.22,Activa
89949,99067,08-04-26,2350731.253112,10930643.134000001,En gestion
33907,22105,01-04-26,14158715.08210175,174206092.06545,Activa
39225,92853,03-04-26,2031260.48579,4278727.705,Liquidada
66011,41902,11-04-26,3281204.598146907,18274646.7663939,Liquidada
99621,80346,01-04-26,5194187.312074406,23429688.51568664,Liquidada
64285,18518,05-04-26,4419394.0391872,33373802.396964297,En gestion
38140,63722,04-04-26,1666520.3292059998,18378489.287100002,Activa
12258,27603,02-04-26,820777.1757852,9449611.3686,Activa
78837,89032,08-04-26,1612494.4152209002,18079482.828313503,En gestion
15948,38457,04-04-26,4258411.149232575,53776795.75006956,Liquidada
65303,19909,03-04-26,3661421.70882265,36221691.226365,Activa
43062,63822,08-04-26,11827184.41243511,96492180.50506501,Liquidada
67455,40810,01-04-26,5133643.030849999,60112471.10455003,En gestion
75826,92651,11-04-26,4279962.140575999,44665944.921799995,Liquidada
29361,25782,31-03-26,4191926.6216407,32819065.93395,Activa
22994,62761,31-03-26,2398215.82802,20290982.201,Liquidada
22454,24773,08-04-26,14372327.4344413,98947826.86986001,Liquidada
42275,42042,09-04-26,4307086.17625,27555421.625,Activa
57887,22174,04-04-26,34604651.91181284,98694194.39103839,En gestion
47293,11608,07-04-26,7096957.824186557,77442531.73086528,Liquidada
29377,14747,02-04-26,6024562.679896756,79753338.54272158,Activa
19105,61070,04-04-26,1160035.9049737,13842717.416189998,En gestion
18793,95186,31-03-26,4170175.4788,50001943.48200001,En gestion
58913,24934,07-04-26,5433000.666336,62438010.01407999,Activa
31850,38602,05-04-26,7230902.507538579,91807912.92825,Liquidada
11848,34516,05-04-26,9536581.0292,109366112.24000001,Liquidada
37500,83011,08-04-26,796202.6923691999,4935295.443419999,En gestion
73453,84464,31-03-26,3859932.350668541,43136045.548515655,En gestion
12074,24482,01-04-26,1307186.992794796,5459948.54917606,Activa
70555,91729,01-04-26,8341873.348319527,102206066.87541914,En gestion
11912,65913,08-04-26,4153173.36,56782586.25,En gestion
80644,54327,31-03-26,1075470.4231773743,12719637.51245226,Liquidada
46321,36065,02-04-26,6484734.077100106,56654844.6468186,Liquidada
96380,41626,04-04-26,4400762.519642534,47732362.565676376,Liquidada
55649,28812,04-04-26,12767257.85783289,48318866.6831882,En gestion
51800,31375,05-04-26,1599354.0141663486,4254581.99933383,Activa
25941,29371,11-04-26,71204.64386000001,324224.31600000005,Activa
64075,19632,06-04-26,593776.8617751,4782316.851849999,Activa
23004,69716,31-03-26,7593660.672720401,70675938.162348,En gestion
27171,79758,08-04-26,14745609.12850707,191017814.60152408,En gestion
67900,84637,11-04-26,7045553.862655433,82688532.25049487,Activa
86613,96011,05-04-26,11373303.357448,127538249.05839999,Activa
55784,94231,01-04-26,2745113.553296,19320703.69944,Activa
59778,65397,05-04-26,85107.28992409998,1088696.4915649998,En gestion
42465,63050,09-04-26,10980852.842,142714605.66399997,En gestion
86989,75510,07-04-26,1609355.014623,7854769.6155,Liquidada
23077,54127,03-04-26,2065816.937696348,6422824.607890994,Activa
12504,41598,08-04-26,14196914.7059,175126005.23,Activa
55120,19000,11-04-26,507268.21309836,6605585.383232,En gestion
91276,16113,10-04-26,734004.1365919567,10026564.299334073,Activa
71968,26895,02-04-26,7289585.244590951,90448419.7244224,En gestion
69465,23260,01-04-26,2198512.560759912,14616149.9740608,En gestion
93164,20636,09-04-26,7037757.350393601,92857423.31459999,En gestion
20472,18921,31-03-26,28600549.368002277,176754425.141665,En gestion
40893,37789,11-04-26,518272.225024,5012339.384000001,En gestion
58576,10877,08-04-26,6636302.49749954,82749261.49444637,En gestion
49667,68012,09-04-26,20922297.928554516,54480646.8237802,En gestion
18216,14697,09-04-26,1991375.346,12860020.74,Liquidada
50054,11387,07-04-26,2979579.186947,40834556.05134001,Activa
85237,93745,03-04-26,8527110.681300001,15707835.469499998,Activa
39893,82703,10-04-26,14316777.08744478,78174147.8817828,Liquidada
84141,35826,04-04-26,4888906.178616639,56564023.359579995,Activa
73782,62748,10-04-26,7107364.0803868,10391633.405802,Activa
38517,36107,09-04-26,9156862.603984,89275545.64389999,En gestion
30423,63540,04-04-26,243456.519208726,2931595.1204129998,Liquidada
47624,80094,09-04-26,61425920.90778828,107916997.0934338,En gestion
77142,58609,01-04-26,24768.67670580923,67726.860714681,Liquidada
49199,47856,05-04-26,3095959.838017457,37139034.365413815,Activa
29327,35710,11-04-26,13554202.340547,179257933.81315002,En gestion
73145,14809,06-04-26,834598.6656767761,9564632.6362548,Activa
22935,40796,03-04-26,7174662.105417716,79208630.67824459,Activa
47078,34518,04-04-26,5838506.897500001,74292246.258,En gestion
87594,34254,07-04-26,2212291.6279990003,27297695.227399997,Activa
38835,92267,11-04-26,8777920.634396337,50652212.40274336,En gestion
66105,21611,08-04-26,1872657.526023537,21559740.721140232,Liquidada
79744,41323,09-04-26,9988196.00887362,128548192.93484901,En gestion
31275,19913,11-04-26,261528.94632,1704080.0447999998,Activa
62389,67375,04-04-26,6962237.047772026,69908882.310207,En gestion
19891,79150,31-03-26,6848047.91757462,75123225.9362215,Liquidada
71437,42631,07-04-26,3841431.81242,49747539.3363,Activa
51628,78573,05-04-26,5528885.363662999,53359460.8858,Activa
81998,21413,09-04-26,387807.586,2891000.19,Liquidada
35599,38723,11-04-26,4971192.488879999,37366953.791999996,Activa
22130,76124,06-04-26,10166598.367624,131410734.76080002,Liquidada
77532,85031,01-04-26,10982358.26040372,84611164.8060558,En gestion
69958,79698,06-04-26,124962.3535,1691223.53,Liquidada
26844,24095,31-03-26,16956449.426653117,134524154.8960025,En gestion
53089,39294,09-04-26,25585300.642393537,158631267.4898688,Liquidada
11064,85698,04-04-26,9508019.034325,96567015.825,En gestion
26303,36557,01-04-26,3636293.299042589,36783554.8044279,En gestion
99272,83643,01-04-26,7611409.017755933,81166085.40880068,Liquidada
45203,21710,07-04-26,671649.30790904,8993294.818635602,Liquidada
28666,26122,03-04-26,1574170.0310956952,21256858.076727763,En gestion
28211,10661,11-04-26,3055957.451156,32139612.317339998,Activa
25581,20828,06-04-26,11161128.2474,144595641.861,Activa
49219,31351,04-04-26,9709357.54028,83485732.28800002,Activa
58897,41039,05-04-26,221089.0408,1698774.22,Liquidada
51193,20592,04-04-26,4068166.0774,52222016.511,Liquidada
59014,71666,05-04-26,5304271.056736954,63513682.509774625,Activa
93780,48900,11-04-26,1879899.624962,9386322.1496,Liquidada
93765,27197,11-04-26,449911.016342,5226009.7848,En gestion
71415,76892,05-04-26,3586368.3386106184,26274030.28883231,Activa
80011,43848,08-04-26,520346.4416,4164713.124,En gestion
99233,51035,05-04-26,2365211.80962848,13514660.272511998,Liquidada
73909,70825,05-04-26,25064927.46576,98930788.8192,Liquidada
91474,31294,11-04-26,3035263.8482241994,36019895.8266,En gestion
79426,88471,31-03-26,9556780.6930697,97274374.95710902,Liquidada
32994,51764,31-03-26,631496.59418436,6902777.9268040005,Activa
22466,74386,05-04-26,4720494.82260576,57033782.3217305,En gestion
77924,59563,02-04-26,17324648.686008,126830710.1904,Liquidada
55476,85958,03-04-26,37237.31408684,148509.214884,Activa
36465,83010,03-04-26,5504216.6064,54746240.44,Activa
79929,70614,09-04-26,12260510.045585953,132258233.925675,Activa
90437,50564,07-04-26,39207.2702,469972.05399999995,Liquidada
43137,31097,03-04-26,583417.197528,3655470.73248,Activa
20287,79110,10-04-26,2476516.067426922,24316766.41316196,En gestion
93629,19165,02-04-26,2162424.785331,24150437.193200003,Activa
62484,34747,05-04-26,2982104.542595,29899832.86015,Activa
55223,79826,09-04-26,419033.707938,1323961.1720000003,Activa
44252,68390,05-04-26,1262314.75893384,3736581.648341,Activa
12535,80237,07-04-26,6268886.481757498,83299110.32918005,En gestion
97181,49705,05-04-26,3072176.5228000004,11780526.516,En gestion
96561,42690,03-04-26,2824777.67136568,37895448.077382006,Liquidada
56104,11150,07-04-26,692092.84808,7432371.744000001,Liquidada
54572,48557,05-04-26,7718677.936646399,86322126.7525,Activa
51837,73879,31-03-26,12113089.090885,158007749.2617,En gestion
32629,61022,09-04-26,2742178.02558632,30691858.285275,Activa
66669,73927,01-04-26,588960.644944,6837807.49824,En gestion
91531,29375,09-04-26,1002617.4784391,4349286.46105,Liquidada
31145,93992,01-04-26,3795595.8561200006,50564129.54,Liquidada
47817,28520,31-03-26,113291.2104,402140.55600000004,Activa
21053,91698,04-04-26,14712308.556906,172362856.7856,Liquidada
74125,46314,09-04-26,1784985.9120432,21071739.16824,Activa
85704,43849,01-04-26,9252703.36456,123200447.85600002,Activa
26944,79039,01-04-26,2792606.8706712,36765680.410068,Activa
85786,48597,01-04-26,571513.950099,3395404.6132400003,En gestion
74923,95073,07-04-26,582078.4864314799,6332100.323411999,En gestion
10966,77629,09-04-26,12960162.55776544,160156380.795798,Activa
37036,43536,08-04-26,1165572.43944,10940328.1416,Liquidada
93356,17002,10-04-26,5636040.084816958,29431018.719052,Liquidada
24983,11402,31-03-26,10865094.812282195,148070163.08690226,Activa
41300,50189,31-03-26,7298933.634831,65888066.907000005,Liquidada
26864,10566,01-04-26,12047716.69394,104253207.421,Liquidada
62353,31716,10-04-26,18340351.903512,34900460.1611,Activa
