id_gestion,id_mora,fecha_gestion,tipo_contacto
2969,89949,11-04-26,Correo
5021,64285,11-04-26,Visita Domiciliaria
7250,78837,10-04-26,Visita Domiciliaria
9759,67455,09-04-26,Correo
4083,57887,10-04-26,Correo
7622,19105,09-04-26,Correo
3750,18793,09-04-26,SMS
2368,37500,09-04-26,Correo
5666,73453,09-04-26,Llamada
7699,70555,11-04-26,Correo
2862,11912,11-04-26,SMS
2694,55649,11-04-26,SMS
3151,23004,09-04-26,Llamada
5914,27171,11-04-26,Correo
1245,59778,10-04-26,Llamada
1759,42465,11-04-26,Llamada
6909,55120,10-04-26,SMS
7767,71968,10-04-26,Llamada
3880,69465,10-04-26,Llamada
8292,93164,10-04-26,SMS
5088,20472,10-04-26,Correo
1554,40893,10-04-26,Correo
9859,58576,09-04-26,SMS
5016,49667,10-04-26,Correo
4782,38517,10-04-26,Visita Domiciliaria
5038,47624,09-04-26,SMS
9188,29327,09-04-26,Visita Domiciliaria
5121,47078,10-04-26,Correo
5840,38835,11-04-26,Visita Domiciliaria
7016,79744,09-04-26,Llamada
2277,62389,09-04-26,Llamada
7158,77532,09-04-26,Correo
3819,26844,10-04-26,Correo
2883,11064,09-04-26,Correo
4095,26303,10-04-26,SMS
5195,28666,10-04-26,Llamada
5350,93765,11-04-26,SMS
9046,80011,10-04-26,Correo
8453,91474,11-04-26,Correo
3365,22466,10-04-26,Visita Domiciliaria
8887,20287,09-04-26,Llamada
6721,12535,09-04-26,Visita Domiciliaria
6269,97181,10-04-26,Llamada
9439,51837,11-04-26,Correo
6076,66669,09-04-26,Llamada
4081,85786,11-04-26,Llamada
3852,74923,11-04-26,SMS
7493,94029,10-04-26,Correo
6805,71495,11-04-26,Visita Domiciliaria
6888,26775,11-04-26,Visita Domiciliaria
9844,69796,11-04-26,Correo
2644,81147,11-04-26,SMS
9221,46570,09-04-26,Llamada
8439,74491,11-04-26,SMS
7405,21277,09-04-26,SMS
6251,55359,10-04-26,Llamada
8661,43006,10-04-26,Correo
6319,55845,10-04-26,SMS
3505,78769,11-04-26,SMS
9912,51707,09-04-26,Correo
2893,79605,10-04-26,Visita Domiciliaria
7472,24849,10-04-26,Visita Domiciliaria
9211,47406,10-04-26,SMS
2062,15803,11-04-26,SMS
3249,20873,10-04-26,SMS
9812,89656,10-04-26,Correo
5333,74285,10-04-26,Llamada
9487,66627,09-04-26,Correo
4438,24199,09-04-26,Correo
1274,10605,11-04-26,Visita Domiciliaria
9258,41563,11-04-26,Correo
1846,80267,10-04-26,SMS
5933,37540,10-04-26,Llamada
4548,34480,09-04-26,Correo
7348,43716,09-04-26,SMS
9788,70332,11-04-26,Llamada
2406,45875,09-04-26,Llamada
7855,72144,09-04-26,SMS
4430,97809,11-04-26,Visita Domiciliaria
5379,55432,10-04-26,Correo
6304,62449,09-04-26,SMS
8531,35535,11-04-26,SMS
6436,74649,10-04-26,SMS
6339,37924,11-04-26,Llamada
3995,81248,09-04-26,Correo
9604,94899,10-04-26,Correo
6215,74579,09-04-26,Visita Domiciliaria
